TRACT_ID,YEAR,TOTAL_POPULATION,LAND_AREA
06037536200,2014,7616,0.855
06037540000,2014,7438,0.644
06037540101,2014,6450,0.485
06037540102,2014,6181,0.483
06037540201,2014,1929,0.101
06037540202,2014,7253,0.291
06037540203,2014,5575,0.348
06037540300,2014,5178,0.592
06037540400,2014,2494,0.131
06037540501,2014,7927,0.561
06037540502,2014,6789,0.231
06037540600,2014,4196,0.362
06037540700,2014,3207,0.443
06037540800,2014,5460,0.764
06037540901,2014,4476,0.450
06037540902,2014,4993,0.970
06037541001,2014,1074,1.008
06037541002,2014,3732,1.324
06037541100,2014,2846,0.480
06037541200,2014,6221,0.804
06037541300,2014,6156,0.517
06037541400,2014,7428,0.368
06037541500,2014,5480,0.313
06037541603,2014,3222,0.485
06037541604,2014,6108,0.322
06037541605,2014,5550,0.335
06037541606,2014,2442,0.132
06037541700,2014,6275,0.541
06037541801,2014,5143,0.276
06037541802,2014,5142,0.424
06037542000,2014,5637,0.378
06037542103,2014,4131,0.221
06037542104,2014,3654,0.236
06037542105,2014,4893,0.241
06037542106,2014,3411,0.331
06037542200,2014,6999,0.513
06037542401,2014,5165,0.499
06037542402,2014,3281,0.606
06037542501,2014,4801,0.223
06037542502,2014,4121,0.380
06037542601,2014,2980,0.212
06037542602,2014,5929,0.337
06037542700,2014,5733,0.377
06037542800,2014,3341,0.300
06037542900,2014,2806,0.312
06037543000,2014,4565,0.507
06037543100,2014,6970,1.115
06037543201,2014,3933,0.389
06037543202,2014,4660,1.172
06037543304,2014,6416,0.622
06037543305,2014,3112,3.215
06037543306,2014,6800,1.700
06037543321,2014,5581,1.885
06037543322,2014,6392,0.758
06037543400,2014,4265,1.129
06037543501,2014,6842,1.027
06037543502,2014,3931,0.425
06037543503,2014,5471,0.642
06037543601,2014,4194,0.251
06037543602,2014,7733,0.628
06037543603,2014,3631,0.571
06037543604,2014,5907,1.005
06037543701,2014,2940,0.245
06037543702,2014,7346,0.509
06037543703,2014,3295,0.392
06037543801,2014,5627,0.835
06037543802,2014,6796,0.523
06037543903,2014,3828,0.518
06037543905,2014,4421,1.059
06037544001,2014,4420,0.871
06037544002,2014,2796,0.442
06037550000,2014,1378,0.301
06037550100,2014,7785,0.637
06037550201,2014,2790,0.221
06037550202,2014,5569,0.488
06037550300,2014,7508,0.948
06037550400,2014,1503,0.335
06037550500,2014,7842,0.987
06037550601,2014,5817,0.453
06037550602,2014,4587,0.569
06037550700,2014,7013,0.834
06037550800,2014,6959,1.106
06037550901,2014,4094,0.435
06037550902,2014,5743,0.373
06037551000,2014,6855,0.910
06037551101,2014,4268,0.651
06037551102,2014,5197,0.634
06037551201,2014,4009,0.305
06037551202,2014,7264,0.540
06037551300,2014,5501,0.592
06037551401,2014,4826,0.283
06037551402,2014,4527,0.447
06037551501,2014,5084,0.559
06037551502,2014,4518,0.425
06037551600,2014,70,0.352
06037551700,2014,6311,0.500
06037551800,2014,7425,0.849
06037551900,2014,5366,0.597
06037552001,2014,4046,0.311
06037552002,2014,3941,0.273
06037552100,2014,6245,0.566
06037552200,2014,6306,0.653
06037552301,2014,5014,0.482
06037552302,2014,3381,0.370
06037552400,2014,2813,0.360
06037552601,2014,5487,0.274
06037552602,2014,4594,0.531
06037552700,2014,6936,0.531
06037552800,2014,6115,0.500
06037552900,2014,6970,0.505
06037553000,2014,5174,0.488
06037553100,2014,6981,0.767
06037553200,2014,7565,0.719
06037553300,2014,3286,0.325
06037553400,2014,3669,0.283
06037553502,2014,4205,0.488
06037553503,2014,2827,0.163
06037553504,2014,6100,0.247
06037553601,2014,4939,0.787
06037553602,2014,4907,0.233
06037553701,2014,4126,0.384
06037553702,2014,4792,0.300
06037553801,2014,4105,0.500
06037553802,2014,6100,0.671
06037553901,2014,6818,0.494
06037553902,2014,5894,0.408
06037554001,2014,3768,0.418
06037554002,2014,5475,0.490
06037554101,2014,4099,0.183
06037554103,2014,1836,0.142
06037554104,2014,2374,0.141
06037554105,2014,4564,0.130
06037554201,2014,3882,0.374
06037554203,2014,3938,0.265
06037554204,2014,4278,0.255
06037554301,2014,3506,0.261
06037554302,2014,3851,0.276
06037554403,2014,5483,0.326
06037554404,2014,4353,0.325
06037554405,2014,3227,0.296
06037554406,2014,4989,0.425
06037554511,2014,4103,0.900
06037554512,2014,5843,1.480
06037554513,2014,2554,0.219
06037554514,2014,4794,0.581
