optimizer,validation_split,lstm_units,learning_rate,batch_size,epochs,rmse
Adagrad,0.05,110.0,0.001,32.0,290.0,129.77139282226562
Adagrad,0.05,110.0,0.01,32.0,290.0,81.8084487915039
Adagrad,0.05,100.0,0.0001,32.0,290.0,152.9100799560547
Adagrad,0.05,100.0,0.001,32.0,290.0,138.95994567871094
Adagrad,0.05,100.0,0.01,32.0,290.0,84.48680114746094
Adagrad,0.05,90.0,0.0001,32.0,290.0,141.97463989257812
Adagrad,0.05,90.0,0.001,32.0,290.0,135.82107543945312
Adagrad,0.05,90.0,0.01,32.0,290.0,88.11219024658203
Adagrad,0.05,80.0,0.0001,32.0,290.0,292.2537841796875
Adagrad,0.05,80.0,0.001,32.0,290.0,135.56036376953125
Adagrad,0.05,80.0,0.01,32.0,290.0,80.6416244506836
Adagrad,0.05,70.0,0.0001,32.0,290.0,154.7236785888672
Adagrad,0.05,70.0,0.001,32.0,290.0,134.16885375976562
Adagrad,0.05,70.0,0.01,32.0,290.0,81.156005859375
Adagrad,0.05,60.0,0.0001,32.0,290.0,288.1264343261719
Adagrad,0.05,60.0,0.001,32.0,290.0,139.60691833496094
Adagrad,0.05,60.0,0.01,32.0,290.0,78.20978546142578
Adagrad,0.05,50.0,0.0001,32.0,290.0,437.0193481445313
Adagrad,0.05,50.0,0.001,32.0,290.0,140.85215759277344
Adagrad,0.05,50.0,0.01,32.0,290.0,81.60924530029297
Adagrad,0.05,40.0,0.0001,32.0,290.0,161.5615692138672
Adagrad,0.05,40.0,0.001,32.0,290.0,139.59841918945312
Adagrad,0.05,40.0,0.01,32.0,290.0,85.52554321289062
Adagrad,0.05,30.0,0.0001,32.0,290.0,412.470703125
Adagrad,0.05,30.0,0.001,32.0,290.0,136.8440399169922
Adagrad,0.05,30.0,0.01,32.0,290.0,84.53849029541016
Adagrad,0.05,20.0,0.0001,32.0,290.0,157.81736755371094
Adagrad,0.05,20.0,0.001,32.0,290.0,143.47216796875
Adagrad,0.05,20.0,0.01,32.0,290.0,94.45744323730467
Adagrad,0.05,10.0,0.0001,32.0,290.0,204.1428375244141
Adagrad,0.05,10.0,0.001,32.0,290.0,141.542724609375
Adagrad,0.05,10.0,0.01,32.0,290.0,91.15081024169922
Adagrad,0.05,190.0,0.0001,160.0,270.0,187.6705322265625
Adagrad,0.05,190.0,0.001,160.0,270.0,149.91473388671875
Adagrad,0.05,190.0,0.01,160.0,270.0,120.4593734741211
Adagrad,0.05,180.0,0.0001,160.0,270.0,149.0918731689453
Adagrad,0.05,180.0,0.001,160.0,270.0,143.9573211669922
Adagrad,0.05,180.0,0.01,160.0,270.0,119.39788818359376
Adagrad,0.05,170.0,0.0001,160.0,270.0,144.8548583984375
Adagrad,0.05,170.0,0.001,160.0,270.0,144.06004333496094
Adagrad,0.05,170.0,0.01,160.0,270.0,122.60977935791016
Adagrad,0.05,160.0,0.0001,160.0,270.0,148.06336975097656
Adagrad,0.05,160.0,0.001,160.0,270.0,139.93594360351562
Adagrad,0.05,160.0,0.01,160.0,270.0,119.79013061523438
Adagrad,0.05,150.0,0.0001,160.0,270.0,159.88265991210938
Adagrad,0.05,150.0,0.001,160.0,270.0,145.00604248046875
Adagrad,0.05,150.0,0.01,160.0,270.0,121.45423889160156
Adagrad,0.05,140.0,0.0001,160.0,270.0,157.015625
Adagrad,0.05,140.0,0.001,160.0,270.0,145.3461151123047
Adagrad,0.05,140.0,0.01,160.0,270.0,117.2729034423828
Adagrad,0.05,130.0,0.0001,160.0,270.0,209.66741943359372
Adagrad,0.05,130.0,0.001,160.0,270.0,141.94973754882812
Adagrad,0.05,130.0,0.01,160.0,270.0,120.77669525146484
Adagrad,0.05,120.0,0.0001,160.0,270.0,150.527587890625
Adagrad,0.05,120.0,0.001,160.0,270.0,146.41940307617188
Adagrad,0.05,120.0,0.01,160.0,270.0,127.36569213867188
Adagrad,0.05,110.0,0.0001,160.0,270.0,182.1222076416016
Adagrad,0.05,110.0,0.001,160.0,270.0,141.5210723876953
Adagrad,0.05,110.0,0.01,160.0,270.0,125.27114868164062
Adagrad,0.05,100.0,0.0001,160.0,270.0,202.3443145751953
Adagrad,0.05,100.0,0.001,160.0,270.0,146.13731384277344
Adagrad,0.05,100.0,0.01,160.0,270.0,121.1277847290039
Adagrad,0.05,90.0,0.0001,160.0,270.0,166.9814910888672
Adagrad,0.05,90.0,0.001,160.0,270.0,145.9419708251953
Adagrad,0.05,90.0,0.01,160.0,270.0,125.29669189453124
Adagrad,0.05,80.0,0.0001,160.0,270.0,575.9560546875
Adagrad,0.05,80.0,0.001,160.0,270.0,143.24658203125
Adagrad,0.05,80.0,0.01,160.0,270.0,122.21053314208984
Adagrad,0.05,70.0,0.0001,160.0,270.0,171.32020568847656
Adagrad,0.05,70.0,0.001,160.0,270.0,144.39598083496094
Adagrad,0.05,70.0,0.01,160.0,270.0,123.9958724975586
Adagrad,0.05,60.0,0.0001,160.0,270.0,275.8319702148437
Adagrad,0.05,60.0,0.001,160.0,270.0,152.0578155517578
Adagrad,0.05,60.0,0.01,160.0,270.0,122.3790512084961
Adagrad,0.05,50.0,0.0001,160.0,270.0,240.1190490722656
Adagrad,0.05,50.0,0.001,160.0,270.0,142.48802185058594
Adagrad,0.05,50.0,0.01,160.0,270.0,120.61542510986328
Adagrad,0.05,40.0,0.0001,160.0,270.0,153.3818817138672
